iter	Passed	Remaining
678	20960	71648
679	20992	71620
680	21025	71597
681	21059	71576
682	21093	71556
683	21127	71535
684	21160	71512
685	21194	71491
686	21227	71469
687	21262	71451
688	21300	71445
689	21334	71424
690	21368	71404
691	21401	71380
692	21433	71353
693	21461	71312
694	21493	71283
695	21523	71251
696	21553	71217
697	21583	71180
698	21613	71146
699	21642	71109
700	21676	71089
701	21708	71063
702	21741	71038
703	21774	71014
704	21807	70991
705	21841	70968
706	21873	70943
707	21906	70917
708	21939	70893
709	21972	70868
710	22005	70845
711	22039	70823
712	22072	70800
713	22106	70777
714	22139	70753
715	22172	70730
716	22206	70709
717	22240	70685
718	22272	70659
719	22305	70635
720	22337	70607
721	22370	70580
722	22402	70554
723	22435	70529
724	22465	70495
725	22495	70462
726	22525	70428
727	22556	70396
728	22587	70364
729	22617	70329
730	22648	70300
731	22678	70264
732	22708	70231
733	22737	70195
734	22767	70160
735	22797	70126
736	22825	70087
737	22855	70052
738	22887	70026
739	22920	70000
740	22954	69977
741	22987	69954
742	23021	69931
743	23054	69906
744	23088	69885
745	23121	69859
746	23154	69836
747	23188	69812
748	23221	69788
749	23253	69761
750	23287	69738
751	23319	69709
752	23351	69683
753	23383	69654
754	23414	69621
755	23444	69587
756	23474	69554
757	23504	69520
758	23534	69487
759	23563	69451
760	23595	69421
761	23625	69388
762	23656	69355
763	23689	69331
764	23720	69301
765	23751	69270
766	23781	69236
767	23811	69201
768	23839	69161
769	23868	69126
770	23900	69096
771	23929	69061
772	23960	69029
773	23992	69001
774	24022	68968
775	24055	68941
776	24085	68908
777	24116	68878
778	24146	68843
779	24178	68815
780	24209	68784
781	24240	68754
782	24270	68720
783	24300	68686
784	24331	68654
785	24360	68618
786	24389	68583
787	24423	68560
788	24457	68538
789	24494	68522
790	24529	68501
791	24564	68481
792	24599	68462
793	24633	68441
794	24666	68414
795	24700	68390
796	24732	68363
797	24765	68336
798	24796	68307
799	24829	68282
800	24862	68254
801	24896	68232
802	24929	68207
803	24962	68182
804	24995	68156
805	25030	68134
806	25064	68111
807	25098	68089
808	25131	68062
809	25165	68039
810	25197	68012
811	25230	67986
812	25263	67959
813	25296	67934
814	25330	67909
815	25362	67882
816	25395	67855
817	25427	67828
818	25461	67803
819	25494	67778
820	25528	67754
821	25561	67728
822	25595	67705
823	25628	67678
824	25661	67652
825	25694	67627
826	25727	67601
827	25758	67568
828	25787	67533
829	25817	67497
830	25846	67460
831	25876	67427
832	25907	67397
833	25940	67370
834	25973	67345
835	26006	67319
836	26040	67295
837	26074	67270
838	26107	67245
839	26140	67219
840	26174	67193
841	26207	67167
842	26239	67140
843	26271	67111
844	26304	67083
845	26334	67049
846	26363	67012
847	26393	66979
848	26425	66950
849	26458	66923
850	26492	66900
851	26526	66876
852	26559	66850
853	26592	66824
854	26625	66797
855	26659	66772
856	26692	66745
857	26725	66720
858	26756	66689
859	26789	66662
860	26821	66632
861	26853	66605
862	26886	66577
863	26919	66550
864	26952	66523
865	26984	66495
866	27013	66458
867	27044	66428
868	27074	66392
869	27104	66360
870	27134	66326
871	27165	66293
872	27195	66258
873	27225	66226
874	27253	66187
875	27283	66153
876	27315	66124
877	27348	66097
878	27380	66069
879	27414	66043
880	27447	66018
881	27481	65993
882	27514	65966
883	27547	65940
884	27581	65914
885	27614	65889
886	27647	65862
887	27681	65837
888	27714	65810
889	27747	65783
890	27780	65755
891	27812	65726
892	27844	65697
893	27877	65671
894	27910	65644
895	27944	65619
896	27977	65592
897	28011	65567
898	28045	65543
899	28079	65519
900	28113	65494
901	28147	65469
902	28181	65444
903	28215	65419
904	28249	65394
905	28283	65370
906	28317	65346
907	28349	65316
908	28380	65285
909	28410	65250
910	28440	65216
911	28471	65185
912	28501	65150
913	28531	65116
914	28562	65084
915	28594	65054
916	28627	65028
917	28659	64998
918	28689	64965
919	28721	64935
920	28753	64906
921	28786	64878
922	28817	64847
923	28849	64818
924	28881	64789
925	28912	64755
926	28944	64727
927	28976	64697
928	29007	64665
929	29038	64633
930	29067	64597
931	29097	64563
932	29124	64523
933	29155	64492
934	29189	64466
935	29222	64439
936	29256	64414
937	29290	64389
938	29326	64369
939	29361	64346
940	29393	64315
941	29426	64287
942	29457	64257
943	29490	64228
944	29521	64197
945	29553	64167
946	29586	64139
947	29617	64109
948	29649	64078
949	29680	64048
950	29709	64012
951	29738	63975
952	29770	63944
953	29799	63910
954	29830	63877
955	29860	63844
956	29890	63809
957	29921	63778
958	29950	63741
959	29980	63709
960	30009	63672
961	30039	63637
962	30068	63602
963	30098	63569
964	30130	63538
965	30165	63515
966	30196	63484
967	30227	63453
968	30259	63423
969	30291	63393
970	30322	63362
971	30354	63332
972	30386	63302
973	30418	63272
974	30451	63245
975	30483	63216
976	30515	63186
977	30547	63155
978	30578	63125
979	30610	63094
980	30642	63065
981	30675	63036
982	30707	63007
983	30739	62978
984	30771	62949
985	30802	62917
986	30833	62884
987	30865	62854
988	30896	62823
989	30928	62793
990	30960	62764
991	30992	62734
992	31023	62703
993	31055	62672
994	31086	62640
995	31117	62610
996	31149	62579
997	31180	62549
998	31213	62520
999	31244	62488
1000	31277	62461
1001	31309	62432
1002	31342	62404
1003	31374	62373
1004	31405	62343
1005	31435	62308
1006	31465	62274
1007	31494	62239
1008	31524	62204
1009	31552	62168
1010	31582	62134
1011	31612	62099
1012	31641	62065
1013	31669	62027
1014	31699	61992
1015	31728	61957
1016	31759	61925
1017	31786	61887
1018	31816	61853
1019	31843	61813
1020	31872	61778
1021	31900	61741
1022	31929	61705
1023	31959	61671
1024	31987	61634
1025	32015	61597
1026	32045	61563
