iter	Accuracy_SumError	Accuracy_SumWeight	MultiClass_SumError	MultiClass_SumWeight
284	2221.799987	2241.099987	169.1715422	2241.099987
285	2221.799987	2241.099987	168.2812085	2241.099987
286	2221.799987	2241.099987	167.6829484	2241.099987
287	2221.799987	2241.099987	167.1446657	2241.099987
288	2221.799987	2241.099987	166.2899555	2241.099987
289	2223.099987	2241.099987	165.7630824	2241.099987
290	2223.099987	2241.099987	165.1498524	2241.099987
291	2223.099987	2241.099987	164.4321354	2241.099987
292	2223.099987	2241.099987	163.8397037	2241.099987
293	2223.099987	2241.099987	163.4570227	2241.099987
294	2223.099987	2241.099987	162.9251322	2241.099987
295	2223.099987	2241.099987	162.3190513	2241.099987
296	2223.099987	2241.099987	161.5251211	2241.099987
297	2223.099987	2241.099987	161.1127341	2241.099987
298	2224.399987	2241.099987	160.6835964	2241.099987
299	2224.399987	2241.099987	160.2689959	2241.099987
300	2224.399987	2241.099987	159.6197084	2241.099987
301	2224.399987	2241.099987	159.1300529	2241.099987
302	2224.399987	2241.099987	158.3864078	2241.099987
303	2224.399987	2241.099987	157.8160681	2241.099987
304	2224.399987	2241.099987	157.3580746	2241.099987
305	2224.399987	2241.099987	156.6660534	2241.099987
306	2224.399987	2241.099987	156.1088111	2241.099987
307	2224.399987	2241.099987	155.3320873	2241.099987
308	2224.399987	2241.099987	154.6713984	2241.099987
309	2225.899987	2241.099987	154.0212098	2241.099987
310	2227.199987	2241.099987	153.3308268	2241.099987
311	2227.199987	2241.099987	152.7905126	2241.099987
312	2227.199987	2241.099987	152.3774713	2241.099987
313	2228.499987	2241.099987	151.9352193	2241.099987
314	2228.499987	2241.099987	151.3615534	2241.099987
315	2228.499987	2241.099987	150.9645584	2241.099987
316	2228.499987	2241.099987	150.3017811	2241.099987
317	2228.499987	2241.099987	149.922839	2241.099987
318	2228.499987	2241.099987	149.273512	2241.099987
319	2228.499987	2241.099987	148.6872137	2241.099987
320	2228.499987	2241.099987	148.3301227	2241.099987
321	2228.499987	2241.099987	148.0953317	2241.099987
322	2228.499987	2241.099987	147.7395859	2241.099987
323	2228.499987	2241.099987	147.3052777	2241.099987
324	2228.499987	2241.099987	147.0166918	2241.099987
325	2228.499987	2241.099987	146.5708481	2241.099987
326	2228.499987	2241.099987	146.2588596	2241.099987
327	2228.499987	2241.099987	145.5377695	2241.099987
328	2228.499987	2241.099987	145.2357686	2241.099987
329	2228.499987	2241.099987	144.6768595	2241.099987
330	2229.499987	2241.099987	144.3753704	2241.099987
331	2229.499987	2241.099987	144.0102395	2241.099987
332	2228.499987	2241.099987	143.4746529	2241.099987
333	2229.499987	2241.099987	143.0845459	2241.099987
334	2229.499987	2241.099987	142.5025898	2241.099987
335	2229.499987	2241.099987	142.1060334	2241.099987
336	2229.499987	2241.099987	141.5497031	2241.099987
337	2230.799987	2241.099987	141.0439739	2241.099987
338	2230.799987	2241.099987	140.5419811	2241.099987
339	2230.799987	2241.099987	140.1452363	2241.099987
340	2232.099987	2241.099987	139.7475391	2241.099987
341	2232.099987	2241.099987	139.1233197	2241.099987
342	2232.099987	2241.099987	138.6444984	2241.099987
343	2232.099987	2241.099987	138.2899091	2241.099987
344	2232.099987	2241.099987	137.9817611	2241.099987
345	2232.099987	2241.099987	137.7082775	2241.099987
346	2232.099987	2241.099987	137.1448781	2241.099987
347	2232.099987	2241.099987	136.9145546	2241.099987
348	2232.099987	2241.099987	136.5032732	2241.099987
349	2233.399987	2241.099987	136.0686677	2241.099987
350	2233.399987	2241.099987	135.7189073	2241.099987
351	2233.399987	2241.099987	135.2108474	2241.099987
352	2233.399987	2241.099987	134.9070552	2241.099987
353	2234.899987	2241.099987	134.3503545	2241.099987
354	2234.899987	2241.099987	133.7450487	2241.099987
355	2234.899987	2241.099987	133.2058165	2241.099987
356	2234.899987	2241.099987	132.7503891	2241.099987
357	2234.899987	2241.099987	132.3123647	2241.099987
358	2234.899987	2241.099987	131.8911623	2241.099987
359	2237.499987	2241.099987	131.4576224	2241.099987
360	2236.199987	2241.099987	130.9985796	2241.099987
361	2236.199987	2241.099987	130.7208988	2241.099987
362	2236.199987	2241.099987	130.3889066	2241.099987
363	2236.199987	2241.099987	130.1105871	2241.099987
364	2236.199987	2241.099987	129.697346	2241.099987
365	2236.199987	2241.099987	129.3444169	2241.099987
366	2237.499987	2241.099987	128.9526472	2241.099987
367	2237.499987	2241.099987	128.6513448	2241.099987
368	2237.499987	2241.099987	128.2655877	2241.099987
369	2237.499987	2241.099987	127.8294646	2241.099987
370	2237.499987	2241.099987	127.2260374	2241.099987
371	2237.499987	2241.099987	126.8821565	2241.099987
372	2237.499987	2241.099987	126.4761235	2241.099987
373	2237.499987	2241.099987	126.0778232	2241.099987
374	2237.499987	2241.099987	125.6873605	2241.099987
375	2237.499987	2241.099987	125.2818302	2241.099987
376	2237.499987	2241.099987	124.8751989	2241.099987
377	2238.799987	2241.099987	124.6337491	2241.099987
378	2238.799987	2241.099987	124.2497854	2241.099987
379	2238.799987	2241.099987	123.8483427	2241.099987
380	2238.799987	2241.099987	123.5022336	2241.099987
381	2238.799987	2241.099987	123.2243351	2241.099987
382	2238.799987	2241.099987	123.002375	2241.099987
383	2238.799987	2241.099987	122.652763	2241.099987
384	2238.799987	2241.099987	122.3648719	2241.099987
385	2238.799987	2241.099987	122.0796196	2241.099987
386	2238.799987	2241.099987	121.6117408	2241.099987
387	2238.799987	2241.099987	121.1559676	2241.099987
388	2238.799987	2241.099987	120.7322801	2241.099987
389	2238.799987	2241.099987	120.4520013	2241.099987
390	2238.799987	2241.099987	119.9314126	2241.099987
391	2238.799987	2241.099987	119.6900197	2241.099987
392	2238.799987	2241.099987	119.3321628	2241.099987
393	2238.799987	2241.099987	118.9732001	2241.099987
394	2238.799987	2241.099987	118.568022	2241.099987
395	2238.799987	2241.099987	118.3254077	2241.099987
396	2238.799987	2241.099987	118.0770035	2241.099987
397	2238.799987	2241.099987	117.7623488	2241.099987
398	2238.799987	2241.099987	117.4817607	2241.099987
399	2238.799987	2241.099987	117.1177832	2241.099987
400	2238.799987	2241.099987	116.863693	2241.099987
401	2238.799987	2241.099987	116.4657077	2241.099987
402	2238.799987	2241.099987	116.1429227	2241.099987
403	2238.799987	2241.099987	115.867376	2241.099987
404	2238.799987	2241.099987	115.4715464	2241.099987
405	2238.799987	2241.099987	115.1340858	2241.099987
406	2238.799987	2241.099987	114.8326575	2241.099987
407	2238.799987	2241.099987	114.5908512	2241.099987
408	2238.799987	2241.099987	114.3954294	2241.099987
409	2238.799987	2241.099987	114.0070499	2241.099987
410	2238.799987	2241.099987	113.8269031	2241.099987
411	2238.799987	2241.099987	113.4915596	2241.099987
412	2238.799987	2241.099987	113.2836926	2241.099987
413	2238.799987	2241.099987	112.8811081	2241.099987
414	2238.799987	2241.099987	112.6807165	2241.099987
415	2238.799987	2241.099987	112.4293393	2241.099987
416	2238.799987	2241.099987	112.1946898	2241.099987
417	2238.799987	2241.099987	111.8899591	2241.099987
418	2238.799987	2241.099987	111.631	2241.099987
419	2238.799987	2241.099987	111.2676212	2241.099987
420	2238.799987	2241.099987	110.9112361	2241.099987
421	2238.799987	2241.099987	110.6868183	2241.099987
422	2238.799987	2241.099987	110.2632367	2241.099987
423	2238.799987	2241.099987	110.0362027	2241.099987
424	2238.799987	2241.099987	109.6557085	2241.099987
425	2238.799987	2241.099987	109.3694537	2241.099987
426	2238.799987	2241.099987	109.0049089	2241.099987
427	2238.799987	2241.099987	108.8432178	2241.099987
428	2238.799987	2241.099987	108.6450632	2241.099987
429	2238.799987	2241.099987	108.4268133	2241.099987
430	2238.799987	2241.099987	108.1271928	2241.099987
431	2238.799987	2241.099987	107.8696649	2241.099987
432	2238.799987	2241.099987	107.6584155	2241.099987
433	2238.799987	2241.099987	107.4474561	2241.099987
434	2238.799987	2241.099987	107.1764694	2241.099987
435	2238.799987	2241.099987	106.9008541	2241.099987
436	2238.799987	2241.099987	106.6070394	2241.099987
437	2238.799987	2241.099987	106.1464948	2241.099987
438	2238.799987	2241.099987	105.9732498	2241.099987
439	2238.799987	2241.099987	105.7798486	2241.099987
440	2238.799987	2241.099987	105.4795245	2241.099987
441	2238.799987	2241.099987	105.2617261	2241.099987
442	2238.799987	2241.099987	105.0772214	2241.099987
443	2238.799987	2241.099987	104.9727131	2241.099987
444	2238.799987	2241.099987	104.6861977	2241.099987
445	2238.799987	2241.099987	104.5561951	2241.099987
446	2238.799987	2241.099987	104.2794087	2241.099987
447	2238.799987	2241.099987	103.9796994	2241.099987
448	2238.799987	2241.099987	103.7507703	2241.099987
449	2238.799987	2241.099987	103.4781257	2241.099987
450	2238.799987	2241.099987	103.2207114	2241.099987
451	2238.799987	2241.099987	102.9766859	2241.099987
452	2238.799987	2241.099987	102.6885752	2241.099987
453	2238.799987	2241.099987	102.3380908	2241.099987
454	2238.799987	2241.099987	102.1250057	2241.099987
455	2238.799987	2241.099987	101.734283	2241.099987
456	2238.799987	2241.099987	101.5443329	2241.099987
457	2238.799987	2241.099987	101.2550704	2241.099987
458	2238.799987	2241.099987	100.9707473	2241.099987
459	2238.799987	2241.099987	100.7475458	2241.099987
460	2238.799987	2241.099987	100.5201379	2241.099987
461	2238.799987	2241.099987	100.3093199	2241.099987
462	2238.799987	2241.099987	100.0389356	2241.099987
463	2238.799987	2241.099987	99.75825248	2241.099987
464	2238.799987	2241.099987	99.48293223	2241.099987
465	2238.799987	2241.099987	99.28501562	2241.099987
466	2238.799987	2241.099987	99.07494012	2241.099987
467	2238.799987	2241.099987	98.84139877	2241.099987
468	2238.799987	2241.099987	98.59452306	2241.099987
469	2238.799987	2241.099987	98.38421289	2241.099987
470	2238.799987	2241.099987	98.29654543	2241.099987
471	2238.799987	2241.099987	98.05545608	2241.099987
472	2238.799987	2241.099987	97.75841957	2241.099987
473	2238.799987	2241.099987	97.6114674	2241.099987
474	2238.799987	2241.099987	97.38211486	2241.099987
475	2238.799987	2241.099987	97.10044947	2241.099987
476	2238.799987	2241.099987	96.87757788	2241.099987
477	2238.799987	2241.099987	96.52339263	2241.099987
478	2238.799987	2241.099987	96.30731664	2241.099987
479	2238.799987	2241.099987	95.94420499	2241.099987
480	2238.799987	2241.099987	95.73346395	2241.099987
481	2238.799987	2241.099987	95.46818334	2241.099987
482	2238.799987	2241.099987	95.17613617	2241.099987
483	2238.799987	2241.099987	94.93263861	2241.099987
484	2238.799987	2241.099987	94.7749989	2241.099987
485	2238.799987	2241.099987	94.63199619	2241.099987
486	2238.799987	2241.099987	94.50597904	2241.099987
487	2238.799987	2241.099987	94.25504553	2241.099987
488	2238.799987	2241.099987	94.0512967	2241.099987
489	2238.799987	2241.099987	93.90440151	2241.099987
490	2238.799987	2241.099987	93.7664381	2241.099987
491	2238.799987	2241.099987	93.58171132	2241.099987
492	2238.799987	2241.099987	93.41155799	2241.099987
493	2238.799987	2241.099987	93.20643897	2241.099987
494	2238.799987	2241.099987	92.95905639	2241.099987
495	2238.799987	2241.099987	92.77951453	2241.099987
496	2238.799987	2241.099987	92.50830908	2241.099987
497	2238.799987	2241.099987	92.30470394	2241.099987
498	2238.799987	2241.099987	92.02893271	2241.099987
499	2238.799987	2241.099987	91.80574564	2241.099987
500	2238.799987	2241.099987	91.54967074	2241.099987
501	2238.799987	2241.099987	91.41542191	2241.099987
502	2238.799987	2241.099987	91.23614053	2241.099987
503	2238.799987	2241.099987	90.96504136	2241.099987
504	2238.799987	2241.099987	90.81041951	2241.099987
505	2238.799987	2241.099987	90.57426968	2241.099987
506	2238.799987	2241.099987	90.47912095	2241.099987
507	2238.799987	2241.099987	90.35553666	2241.099987
508	2238.799987	2241.099987	90.08969219	2241.099987
509	2238.799987	2241.099987	89.86687279	2241.099987
510	2238.799987	2241.099987	89.67076753	2241.099987
511	2238.799987	2241.099987	89.41569353	2241.099987
512	2238.799987	2241.099987	89.29811235	2241.099987
513	2238.799987	2241.099987	89.10736487	2241.099987
514	2238.799987	2241.099987	88.85813335	2241.099987
515	2238.799987	2241.099987	88.650566	2241.099987
516	2238.799987	2241.099987	88.52132105	2241.099987
517	2238.799987	2241.099987	88.32421586	2241.099987
518	2238.799987	2241.099987	88.21585619	2241.099987
519	2238.799987	2241.099987	88.07784037	2241.099987
520	2238.799987	2241.099987	87.95266899	2241.099987
521	2238.799987	2241.099987	87.81225712	2241.099987
522	2238.799987	2241.099987	87.63106296	2241.099987
523	2238.799987	2241.099987	87.4075123	2241.099987
524	2238.799987	2241.099987	87.29711458	2241.099987
525	2238.799987	2241.099987	87.16948352	2241.099987
526	2238.799987	2241.099987	87.01422187	2241.099987
527	2238.799987	2241.099987	86.79655931	2241.099987
528	2238.799987	2241.099987	86.53521061	2241.099987
529	2238.799987	2241.099987	86.32837278	2241.099987
530	2238.799987	2241.099987	86.09283079	2241.099987
531	2238.799987	2241.099987	85.78345899	2241.099987
